rank,companies_name,industry,revenue,profit,employee_number,headquarter_location,profit_margin,revenue_employee
1,Walmart,Retail,611289,11680,2100000,United States,1.91,0.29
2,Saudi Aramco,Oil and gas,603651,159069,70496,Saudi Arabia,26.35,8.56
3,State Grid Corporation of China,Electricity,530009,8192,870287,China,1.55,0.61
4,Amazon,Retail,513983,-2722,1541000,United States,-0.53,0.33
5,Vitol,Commodities,505000,15000,1560,Switzerland,2.97,323.72
6,China National Petroleum Corporation,Oil and gas,483019,21080,1087049,China,4.36,0.44
7,China Petrochemical Corporation,Oil and gas,471154,9657,527487,China,2.05,0.89
8,ExxonMobil,Oil and gas,413680,55740,63000,United States,13.47,6.57
9,Apple,Electronics,394328,99803,164000,United States,25.31,2.4
10,Shell,Oil and gas,386201,20120,93000,United Kingdom,5.21,4.15
11,UnitedHealth Group,Healthcare,324162,20120,400000,United States,6.21,0.81
12,CVS Health,Healthcare,322467,4149,259500,United States,1.29,1.24
13,Trafigura,Commodities,318476,6994,12347,Singapore,2.2,25.79
14,China State Construction Engineering,Construction,305885,4234,382492,China,1.38,0.8
15,Berkshire Hathaway,Financials,302089,-2282,383000,United States,-0.76,0.79
16,Volkswagen Group,Automotive,293685,15233,675805,Germany,5.19,0.43
17,Uniper,Electricity,288309,-1996,7008,Germany,-0.69,41.14
18,Alphabet,Information technology,282836,59972,190234,United States,21.2,1.49
19,McKesson,Healthcare,276711,3560,48000,United States,1.29,5.76
20,Toyota,Automotive,274491,18110,375235,Japan,6.6,0.73
21,TotalEnergies,Oil and gas,263310,20526,101279,France,7.8,2.6
22,Glencore,Commodities,255984,17320,81284,Switzerland,6.77,3.15
23,BP,Oil and gas,248891,-2487,67600,United Kingdom,-1.0,3.68
24,Chevron,Oil and gas,246252,35465,43846,United States,14.4,5.62
25,AmerisourceBergen,Healthcare,238587,1699,41500,United States,0.71,5.75
26,Samsung Electronics,Electronics,234129,42398,270372,South Korea,18.11,0.87
27,Costco,Retail,226954,5844,304000,United States,2.57,0.75
28,Foxconn,Electronics,222535,4751,767062,Taiwan,2.13,0.29
29,Industrial and Commercial Bank of China,Financials,214766,53589,427587,China,24.95,0.5
30,China Construction Bank,Financials,202753,48145,376682,China,23.75,0.54
31,Microsoft,Information technology,198270,72738,221000,United States,36.69,0.9
32,Stellantis,Automotive,188888,17669,272367,Netherlands,9.35,0.69
33,Agricultural Bank of China,Financials,187061,38524,452258,China,20.59,0.41
34,Ping An Insurance,Financials,181566,12454,344223,China,6.86,0.53
35,Cardinal Health,Healthcare,181364,-933,46035,United States,-0.51,3.94
36,Cigna,Healthcare,180516,6668,70231,United States,3.69,2.57
37,Marathon Petroleum,Oil and gas,180012,14516,17800,United States,8.06,10.11
38,Phillips 66,Oil and gas,175702,11024,13000,United States,6.27,13.52
39,Sinochem,Chemicals,173834,0,220760,China,0.0,0.79
40,China Railway Engineering Corporation,Construction,171669,2035,314792,China,1.19,0.55
41,Valero Energy,Oil and gas,171189,11528,9743,United States,6.73,17.57
42,Gazprom,Oil and gas,167832,17641,468000,Russia,10.51,0.36
43,Cargill,Conglomerate,165000,0,155000,United States,0.0,1.06
44,China National Offshore Oil Corporation,Oil and gas,164762,16988,81775,China,10.31,2.01
45,China Railway Construction Corporation,Construction,163037,1800,342098,China,1.1,0.48
46,Baowu,Steel,161698,2493,245675,China,1.54,0.66
47,Schwarz Gruppe,Retail,159800,0,575000,Germany,0.0,0.28
48,Mitsubishi Group,Conglomerate,159371,8723,79706,Japan,5.47,2.0
49,Ford Motor Company,Automotive,158057,-1981,173000,United States,-1.25,0.91
50,Mercedes-Benz Group,Automotive,157403,15252,168797,Germany,9.69,0.93
